ID,PARENT_ID,GS_CODE,DESCRIPTION
2050879,2050793,60010115,"Initial Installation of Flooring, Carpet Using Glue Down Method - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050880,2050793,60010116,"Initial Installation of Flooring, Carpet Using Only Two-Sided Tape - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050881,2050793,60010117,"Initial Installation of Flooring, Carpet Using Only Two-Sided Tape - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050882,2050793,60010118,"Initial Installation of Flooring, Carpet Using Only Two-Sided Tape - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050994,2050793,60010119,"Initial Installation of Sinks - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050995,2050793,60010120,"Initial Installation of Sinks - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050996,2050793,60010121,"Initial Installation of Sinks - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050997,2050793,60010122,"Initial Installation of Custom-Fit Window Coverings: Shades or Sheers, where the item is fabricated by a third-party manufacturer that is not the seller - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050998,2050793,60010123,"Initial Installation of Custom-Fit Window Coverings: Shades or Sheers, where the item is fabricated by a third-party manufacturer that is not the seller - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050999,2050793,60010124,"Initial Installation of Custom-Fit Window Coverings: Shades or Sheers, where the item is fabricated by a third-party manufacturer that is not the seller - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051000,2050793,60010125,"Initial Installation of Custom-Fit Window Coverings: Interior Shutters, where the item is fabricated by a third-party manufacturer that is not the seller - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051001,2050793,60010126,"Initial Installation of Custom-Fit Window Coverings: Interior Shutters, where the item is fabricated by a third-party manufacturer that is not the seller - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051002,2050793,60010127,"Initial Installation of Custom-Fit Window Coverings: Interior Shutters, where the item is fabricated by a third-party manufacturer that is not the seller - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051003,2050793,60010128,"Initial Installation of Custom-Fit Window Coverings: Blinds (except venetian blinds) or Arches, where the item is fabricated by a third-party manufacturer that is not the seller - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051004,2050793,60010129,"Initial Installation of Custom-Fit Window Coverings: Blinds (except venetian blinds) or Arches, where the item is fabricated by a third-party manufacturer that is not the seller - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051005,2050793,60010130,"Initial Installation of Custom-Fit Window Coverings: Blinds (except venetian blinds) or Arches, where the item is fabricated by a third-party manufacturer that is not the seller - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051006,2050793,60010131,"Initial Installation of Custom-Fit Window Coverings: Venetian Blinds, where the item is fabricated by a third-party manufacturer that is not the seller - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051007,2050793,60010132,"Initial Installation of Custom-Fit Window Coverings: Venetian Blinds, where the item is fabricated by a third-party manufacturer that is not the seller - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051008,2050793,60010133,"Initial Installation of Custom-Fit Window Coverings: Venetian Blinds, where the item is fabricated by a third-party manufacturer that is not the seller - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051244,2050793,60010134,"Initial Installation of Prefabricated Kitchen Cabinets (not a ""fixture"" in California) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051245,2050793,60010135,"Initial Installation of Prefabricated Non-Kitchen Cabinets (not a ""fixture"" in California) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051246,2050793,60010136,"Initial Installation of Prefabricated Cabinets (not a ""fixture"" in California) - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051247,2050793,60010137,"Initial Installation of Prefabricated Kitchen Cabinets (not a ""fixture"" in California) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051248,2050793,60010138,"Initial Installation of Prefabricated Non-Kitchen Cabinets (not a ""fixture"" in California) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051249,2050793,60010139,"Initial Installation of Kitchen Countertops (except tile) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051250,2050793,60010140,"Initial Installation of Non-Kitchen Countertops (except tile) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051251,2050793,60010141,"Initial Installation of Countertops (except tile) - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051252,2050793,60010142,"Initial Installation of Kitchen Countertops (except tile) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051253,2050793,60010143,"Initial Installation of Non-Kitchen Countertops (except tile) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051254,2050793,60010144,"Initial Installation of Tile Countertops - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051255,2050793,60010145,"Initial Installation of Tile Kitchen or Bathroom Countertops - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051256,2050793,60010146,"Initial Installation of Tile Non-Kitchen/Non-Bathroom Countertops - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2051257,2050793,60010147,"Initial Installation of Tile Countertops - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Commercial Property only, where Contractor is NOT a retailer."
2050803,2050792,600102,Existing Commercial Property
2050804,2050803,60010201,"Initial Installation of Flooring, Vinyl (All Types) or Tile (All Types Except Ceramic) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050805,2050803,60010202,"Initial Installation of Flooring, Vinyl (All Types) or Tile (All Types Except Ceramic) - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050806,2050803,60010203,"Initial Installation of Flooring, Vinyl (All Types) or Tile (All Types Except Ceramic) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050807,2050803,60010204,"Initial Installation of Flooring, Ceramic Tile, Marble or Mosaic - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050808,2050803,60010205,"Initial Installation of Flooring, Ceramic Tile, Marble or Mosaic - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050809,2050803,60010206,"Initial Installation of Flooring, Ceramic Tile, Marble or Mosaic - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050810,2050803,60010207,"Initial Installation of Flooring, Wood - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050811,2050803,60010208,"Initial Installation of Flooring, Wood - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050812,2050803,60010209,"Initial Installation of Flooring, Wood - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050883,2050803,60010210,"Initial Installation of Flooring, Carpet Using the Tack Strip Method - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050884,2050803,60010211,"Initial Installation of Flooring, Carpet Using the Tack Strip Method - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050885,2050803,60010212,"Initial Installation of Flooring, Carpet Using the Tack Strip Method - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050886,2050803,60010213,"Initial Installation of Flooring, Carpet Using Glue Down Method - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050887,2050803,60010214,"Initial Installation of Flooring, Carpet Using Glue Down Method - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050888,2050803,60010215,"Initial Installation of Flooring, Carpet Using Glue Down Method - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050889,2050803,60010216,"Initial Installation of Flooring, Carpet  Using Only Two-Sided Tape - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050890,2050803,60010217,"Initial Installation of Flooring, Carpet Using Only Two-Sided Tape - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050891,2050803,60010218,"Initial Installation of Flooring, Carpet Using Only Two-Sided Tape - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051009,2050803,60010219,"Initial Installation of Sinks - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051010,2050803,60010220,"Initial Installation of Sinks - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051011,2050803,60010221,"Initial Installation of Sinks - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051012,2050803,60010222,"Initial Installation of Custom-Fit Window Coverings: Shades or Sheers, where the item is fabricated by a third-party manufacturer that is not the seller - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051013,2050803,60010223,"Initial Installation of Custom-Fit Window Coverings: Shades or Sheers, where the item is fabricated by a third-party manufacturer that is not the seller - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051014,2050803,60010224,"Initial Installation of Custom-Fit Window Coverings: Shades or Sheers, where the item is fabricated by a third-party manufacturer that is not the seller - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051015,2050803,60010225,"Initial Installation of Custom-Fit Window Coverings: Interior Shutters, where the item is fabricated by a third-party manufacturer that is not the seller - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051016,2050803,60010226,"Initial Installation of Custom-Fit Window Coverings: Interior Shutters, where the item is fabricated by a third-party manufacturer that is not the seller - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051017,2050803,60010227,"Initial Installation of Custom-Fit Window Coverings: Interior Shutters, where the item is fabricated by a third-party manufacturer that is not the seller - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051018,2050803,60010228,"Initial Installation of Custom-Fit Window Coverings: Blinds (except venetian blinds) or Arches, where the item is fabricated by a third-party manufacturer that is not the seller - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051019,2050803,60010229,"Initial Installation of Custom-Fit Window Coverings: Blinds (except venetian blinds) or Arches, where the item is fabricated by a third-party manufacturer that is not the seller - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051020,2050803,60010230,"Initial Installation of Custom-Fit Window Coverings: Blinds (except venetian blinds) or Arches, where the item is fabricated by a third-party manufacturer that is not the seller - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051021,2050803,60010231,"Initial Installation of Custom-Fit Window Coverings: Venetian Blinds, where the item is fabricated by a third-party manufacturer that is not the seller - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051022,2050803,60010232,"Initial Installation of Custom-Fit Window Coverings: Venetian Blinds, where the item is fabricated by a third-party manufacturer that is not the seller - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051023,2050803,60010233,"Initial Installation of Custom-Fit Window Coverings: Venetian Blinds, where the item is fabricated by a third-party manufacturer that is not the seller - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051258,2050803,60010234,"Initial Installation of Prefabricated Kitchen Cabinets (not a ""fixture"" in California) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051259,2050803,60010235,"Initial Installation of Prefabricated Non-Kitchen Cabinets (not a ""fixture"" in California) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051260,2050803,60010236,"Initial Installation of Prefabricated Cabinets (not a ""fixture"" in California) - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051261,2050803,60010237,"Initial Installation of Prefabricated Kitchen Cabinets (not a ""fixture"" in California) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051262,2050803,60010238,"Initial Installation of Prefabricated Non-Kitchen Cabinets (not a ""fixture"" in California) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051263,2050803,60010239,"Initial Installation of Kitchen Countertops (except tile) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051264,2050803,60010240,"Initial Installation of Non-Kitchen Countertops (except tile) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051265,2050803,60010241,"Initial Installation of Countertops (except tile) - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051266,2050803,60010242,"Initial Installation of Kitchen Countertops (except tile) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051267,2050803,60010243,"Initial Installation of Non-Kitchen Countertops (except tile) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051268,2050803,60010244,"Initial Installation of Tile Countertops - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2051269,2050803,60010245,"Initial Installation of Tile Kitchen or Bathroom Countertops - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051270,2050803,60010246,"Initial Installation of Tile Non-Kitchen/Non-Bathroom Countertops - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2051271,2050803,60010247,"Initial Installation of Tile Countertops - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on Existing Commercial Property only, where Contractor is NOT a retailer."
2050813,2050792,600103,New Residential Property
2050814,2050813,60010301,"Initial Installation of Flooring, Vinyl (All Types) or Tile (All Types Except Ceramic) - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050815,2050813,60010302,"Initial Installation of Flooring, Vinyl (All Types) or Tile (All Types Except Ceramic) - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
2050816,2050813,60010303,"Initial Installation of Flooring, Vinyl (All Types) or Tile (All Types Except Ceramic) - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
2050817,2050813,60010304,"Initial Installation of Flooring, Ceramic Tile, Marble or Mosaic - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050818,2050813,60010305,"Initial Installation of Flooring, Ceramic Tile, Marble or Mosaic - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
2050819,2050813,60010306,"Initial Installation of Flooring, Ceramic Tile, Marble or Mosaic - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
2050820,2050813,60010307,"Initial Installation of Flooring, Wood - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050821,2050813,60010308,"Initial Installation of Flooring, Wood - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
2050822,2050813,60010309,"Initial Installation of Flooring, Wood - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
2050892,2050813,60010310,"Initial Installation of Flooring, Carpet Using the Tack Strip Method - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050893,2050813,60010311,"Initial Installation of Flooring, Carpet Using the Tack Strip Method - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
2050894,2050813,60010312,"Initial Installation of Flooring, Carpet Using the Tack Strip Method - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
2050895,2050813,60010313,"Initial Installation of Flooring, Carpet Using Glue Down Method - Materials Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer. Title to materials passes AFTER installation."
2050896,2050813,60010314,"Initial Installation of Flooring, Carpet Using Glue Down Method - Labor Charge, under a TIME and MATERIALS CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
2050897,2050813,60010315,"Initial Installation of Flooring, Carpet Using Glue Down Method - Lump Sum Charge for Labor and Materials, under a LUMP SUM CONTRACT - performed on New Residential Property only, where Contractor is NOT a retailer."
